,episode,timesteps,penalties,score
1196,1196,18,0,3
1197,1197,13,0,8
1198,1198,38,1,-26
1199,1199,40,0,-19
1200,1200,10,0,11
1201,1201,53,2,-50
1202,1202,64,4,-79
1203,1203,16,0,5
1204,1204,16,0,5
1205,1205,15,1,-3
1206,1206,25,0,-4
1207,1207,55,3,-61
1208,1208,14,1,-2
1209,1209,82,1,-70
1210,1210,17,1,-5
1211,1211,35,0,-14
1212,1212,21,0,0
1213,1213,34,2,-31
1214,1214,35,1,-23
1215,1215,9,0,12
1216,1216,27,0,-6
1217,1217,9,0,12
1218,1218,10,0,11
1219,1219,10,0,11
1220,1220,61,4,-76
1221,1221,14,0,7
1222,1222,15,0,6
1223,1223,52,1,-40
1224,1224,12,0,9
1225,1225,76,7,-118
1226,1226,18,0,3
1227,1227,29,1,-17
1228,1228,14,0,7
1229,1229,17,0,4
1230,1230,46,1,-34
1231,1231,17,2,-14
1232,1232,13,0,8
1233,1233,30,1,-18
1234,1234,58,3,-64
1235,1235,30,1,-18
1236,1236,14,1,-2
